[ 2.00508022 -2.63694429 -2.05432796 -0.01067445],3
[ 0.51551163 -0.09052805 -2.58458447 -0.88017982],3
[ 2.20321035 -1.41437685 -2.36760736  0.51680321],3
[ 1.21639705 -1.84239292 -2.798527   -2.03804946],3
[ 2.37950993 -1.70484793 -2.27543354 -0.90737641],3
[ 1.22539651 -1.7991792  -1.0221076   1.44380689],3
[ 1.95116413 -2.01513433 -3.54990172 -0.1814343 ],3
[ 2.00423074 -1.52378523 -2.76646447 -0.8206169 ],3
[ 0.84193373 -1.69192255 -2.66366673 -1.96637416],3
[ 2.15667868 -2.60764933 -2.4818778   0.52588558],3
[ 1.91371202 -2.01112652 -3.98867726 -0.3407523 ],3
[ 1.4851023  -2.02226949 -2.4100244   0.3550837 ],3
[ 1.83867168  0.25980455 -4.38697386  0.38883409],3
[ 2.51833725 -0.18859756 -2.53151178 -2.18612409],3
[ 2.72929573 -0.87559712 -3.48861551  0.10462018],3
[ 1.73361158 -0.87385714 -3.30670929  0.01083129],3
[ 2.69766355 -2.49488497 -2.60200667 -0.72780484],3
[ 1.09941661 -1.69155431 -4.07045555  1.00756407],3
[ 2.19427133 -2.5518167  -2.38642097 -0.48010561],3
[ 2.36760974 -2.74799705 -2.37484312 -0.27587655],3
[ 3.10398984  0.32919735 -0.53418255 -0.29999033],3
[ 2.65206695 -1.46871245 -3.20218921  1.05364513],3
[ 3.04768848 -0.9022764  -2.1128633  -0.10594428],3
[ 2.53987908 -2.10395789 -3.83710313  1.68116426],3
[ 2.35114384 -2.01755404 -1.91783762  0.13024952],3
[ 1.14392495 -1.103122   -3.88073277 -0.53609133],3
[ 2.55404496 -2.67616391 -2.10359359 -0.47572264],3
[ 1.24944401 -2.77181435 -2.85921168 -0.34015611],3
[ 1.86477327 -2.61729836 -2.52769351 -0.66161728],3
[ 1.69471872 -2.55777121 -2.8210659  -0.46794876],3
[ 1.89732742 -2.83352876 -2.93334031  1.77279758],3
[ 2.71025133 -2.52958941 -1.83660603 -0.81659293],3
[ 2.67198205 -2.96457458 -2.38346744 -0.51386058],3
[ 2.34797049 -1.76169598 -3.19899416  0.03863602],3
[ 0.75728047 -2.00735831 -3.89623022  0.61072153],3
[-0.93797994 -3.64522243 -3.65128779  2.29310989],3
[ 1.49103057 -2.07701039 -2.75806165  0.73097563],3
[ 1.795506   -2.74960041 -3.77581167  2.06649494],3
[ 1.77725649 -2.49586391 -2.57691145 -0.82659626],3
[ 2.38403082 -0.46967924 -2.98704648  0.26389626],3
[ 2.09338331 -0.67214501 -1.93507671 -2.92052531],3
[ 0.64435971 -2.50663877 -3.52483749  2.60956025],3
[ 0.39615536 -1.8986659  -1.00829828  0.42192855],3
[ 1.70969355 -0.14591074 -2.80141735 -0.80114448],3
[ 1.75380254 -2.3735466  -3.39113951 -2.39981055],3
[ 2.1223681  -2.64555407 -2.36679053 -0.47611031],3
[ 3.11848712 -2.00373411 -1.7693851   0.5607115 ],3
[ 3.42991376 -4.32118034 -2.71977901 -0.33869675],3
[ 1.32115531 -0.85779148 -2.77091956 -1.63023007],3
[ 1.75728607  0.12904513 -1.74517179 -0.78095466],3
[ 1.1481905   0.94462001 -1.59021366 -0.60311127],3
[ 3.42562389  2.22989678 -1.50779521 -2.47310877],3
[ 2.45774269 -1.20011365 -0.27531973 -1.02881384],3
[ 2.7201252  -1.15575087 -3.03377199 -0.563438  ],3
[ 1.74934983 -1.89384806  0.8604517  -1.43998837],3
[ 3.37245584 -3.65360546 -2.23027277  0.20700148],3
[ 1.23211348 -1.8366611  -4.12919712  1.40333533],3
[ 2.40745187 -2.68311262 -2.37162566 -1.64740884],3
[ 1.47283745 -3.46819115 -2.84297419  2.19963288],3
[ 1.64558339 -2.34373617 -3.33944702  1.04509914],3
[ 1.93143547 -3.03203082 -0.48973075  0.49918774],3
[ 1.89261627 -2.50389242 -5.0815959   0.12059622],3
[ 2.05643868 -2.3811028  -1.9404285   0.74111032],3
[ 1.70540738 -2.49490952 -2.10600805  1.56077361],3
[ 1.40072536 -1.89789784 -3.30115867  0.89363348],3
[ 1.32185292  0.80969405 -3.73613548 -1.24266279],3
[ 0.99785888 -3.34633374 -3.7146163   1.46207774],3
[ 0.58194625 -2.28094864 -3.40146279  1.3624208 ],3
[ 1.45312822 -1.14475405 -3.92483401 -0.78147864],3
[-0.36343676  0.6195581  -2.0749135  -1.13196266],2
[ 1.63652027 -0.90638661 -1.70411396 -0.40617058],2
[ 2.20500541 -2.1808641  -2.28407764 -0.00856949],2
[ 3.61176658 -0.96546113 -3.41548705 -2.03017712],2
[ 1.17056584 -1.97653496 -1.78731012 -0.9979552 ],2
[ 0.34381965  1.32686031 -1.91343331 -2.41595173],2
[ 2.80552173 -2.95642543 -2.22310948 -1.44732273],2
[ 1.28548098 -1.80108631 -1.27767897 -1.5606389 ],2
[ 0.96937597 -1.74349821 -4.64638472 -0.48087391],2
[ 2.07379818 -0.68637908 -3.23436928  0.63390839],2
[ 1.71711981 -1.31383526 -1.75172281  0.28814092],2
[ 1.85156989  2.08917069 -2.86136603 -1.56212914],1
[ 3.3172884   1.24058831 -2.43396902 -2.43833566],1
[ 1.26338601 -1.39160764 -2.74338794  0.6937781 ],1
[ 1.49907517  1.50416744 -4.12707376 -2.54393244],1
[ 2.91185975 -1.18052053 -0.19546694 -1.24048758],1
[ 1.51894522  3.11684084 -2.24434566 -1.9655509 ],1
[ 1.27730703  1.31040812 -2.22034669 -0.81910086],1
